plate_pair,plate,well,ecotype,site,seed_family,water_potential,cold_stratification,Date,Day
19,19_A,19_A_B,Semelparous,S3,S3_4,-0.5,Cold stratified,4/25/23,1
19,19_A,19_A_B,Semelparous,S3,S3_4,-0.5,Cold stratified,4/26/23,2
19,19_A,19_A_B,Semelparous,S3,S3_4,-0.5,Cold stratified,4/26/23,2
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,4/28/23,4
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,4/28/23,4
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,5/1/23,7
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,5/3/23,9
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,5/3/23,9
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,5/8/23,14
19,19_A,19_A_F,Iteroparous,I3,I3_1,-0.5,Not cold stratified,5/15/23,21
19,19_B,19_B_C,Semelparous,S1,S1_12,0,Cold stratified,4/26/23,2
19,19_B,19_B_C,Semelparous,S1,S1_12,0,Cold stratified,4/26/23,2
19,19_B,19_B_C,Semelparous,S1,S1_12,0,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,4/28/23,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,5/1/23,7
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,5/1/23,7
19,19_B,19_B_D,Iteroparous,I2,I2_1,-0.5,Cold stratified,5/3/23,9
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/26/23,2
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/26/23,2
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/26/23,2
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/28/23,4
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/28/23,4
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/28/23,4
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/28/23,4
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,4/28/23,4
2,2_B,2_B_A,Iteroparous,I2,I2_7,0,Cold stratified,5/1/23,7
20,20_A,20_A_A,Semelparous,S1,S1_28,-0.5,Not cold stratified,5/5/23,11
20,20_A,20_A_A,Semelparous,S1,S1_28,-0.5,Not cold stratified,5/5/23,11
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,4/26/23,2
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,4/26/23,2
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,4/26/23,2
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,4/28/23,4
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,4/28/23,4
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,4/28/23,4
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,5/1/23,7
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,5/1/23,7
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,5/1/23,7
20,20_A,20_A_C,Iteroparous,I1,I1_2,0,Not cold stratified,5/8/23,14
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,4/28/23,4
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,4/28/23,4
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,4/28/23,4
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,4/28/23,4
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,5/1/23,7
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,5/1/23,7
20,20_A,20_A_D,Iteroparous,I2,I2_9,0,Not cold stratified,5/3/23,9
20,20_B,20_B_D,Iteroparous,I3,I3_1,0,Cold stratified,4/26/23,2
20,20_B,20_B_D,Iteroparous,I3,I3_1,0,Cold stratified,4/26/23,2
20,20_B,20_B_D,Iteroparous,I3,I3_1,0,Cold stratified,4/28/23,4
20,20_B,20_B_D,Iteroparous,I3,I3_1,0,Cold stratified,4/28/23,4
20,20_B,20_B_D,Iteroparous,I3,I3_1,0,Cold stratified,4/28/23,4
20,20_B,20_B_D,Iteroparous,I3,I3_1,0,Cold stratified,5/1/23,7
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,4/26/23,2
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,4/26/23,2
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,4/26/23,2
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,4/28/23,4
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,4/28/23,4
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,5/3/23,9
21,21_A,21_A_D,Iteroparous,I1,I1_16,0,Not cold stratified,5/8/23,14
